Topic,Difficulty,ID,Title,Acceptance %,Frequency %,URL,Intuition
Graph,Medium,210,Course Schedule II,55.5%,37.5%,https://leetcode.com/problems/course-schedule-ii,Topological sort
Graph,Medium,399,Evaluate Division,64.2%,25.0%,https://leetcode.com/problems/evaluate-division,Graph weights
Graph,Medium,752,Open the Lock,61.3%,37.5%,https://leetcode.com/problems/open-the-lock,BFS state space
Graph,Medium,994,Rotting Oranges,58.7%,37.5%,https://leetcode.com/problems/rotting-oranges,Multi-source BFS
Graph,Medium,1041,Robot Bounded In Circle,56.5%,62.5%,https://leetcode.com/problems/robot-bounded-in-circle,Simulation
Graph,Medium,1094,Car Pooling,56.4%,50.0%,https://leetcode.com/problems/car-pooling,Capacity tracking
Graph,Hard,815,Bus Routes,47.3%,25.0%,https://leetcode.com/problems/bus-routes,Graph traversal
Graph,Hard,127,Word Ladder,45.6%,25.0%,https://leetcode.com/problems/word-ladder,BFS
Binary Tree,Easy,101,Symmetric Tree,61.2%,25.0%,https://leetcode.com/problems/symmetric-tree,Mirror check
Binary Tree,Easy,104,Maximum Depth of Binary Tree,72.7%,50.0%,https://leetcode.com/problems/maximum-depth-of-binary-tree,DFS or BFS
Binary Tree,Easy,112,Path Sum,54.9%,25.0%,https://leetcode.com/problems/path-sum,Root to leaf check
Binary Tree,Easy,144,Binary Tree Preorder Traversal,71.4%,50.0%,https://leetcode.com/problems/binary-tree-preorder-traversal,Preorder DFS
Binary Tree,Easy,257,Binary Tree Paths,61.0%,50.0%,https://leetcode.com/problems/binary-tree-paths,DFS path collection
Binary Tree,Medium,98,Validate Binary Search Tree,35.8%,25.0%,https://leetcode.com/problems/validate-binary-search-tree,Range validation
Binary Tree,Medium,102,Binary Tree Level Order Traversal,72.7%,25.0%,https://leetcode.com/problems/binary-tree-level-order-traversal,BFS level by level
Binary Tree,Medium,103,Binary Tree Zigzag Level Order Traversal,63.7%,25.0%,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Reverse alternating levels
Binary Tree,Medium,236,Lowest Common Ancestor of a Binary Tree,69.3%,25.0%,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Post-order traversal
Binary Tree,Hard,124,Binary Tree Maximum Path Sum,42.3%,25.0%,https://leetcode.com/problems/binary-tree-maximum-path-sum,Max path through node
Heap/Priority Queue,Easy,703,Kth Largest Element in a Stream,61.0%,25.0%,https://leetcode.com/problems/kth-largest-element-in-a-stream,Min heap
Heap/Priority Queue,Medium,215,Kth Largest Element in an Array,68.9%,50.0%,https://leetcode.com/problems/kth-largest-element-in-an-array,Quickselect or heap
Heap/Priority Queue,Medium,347,Top K Frequent Elements,66.4%,50.0%,https://leetcode.com/problems/top-k-frequent-elements,Bucket or heap sort
Heap/Priority Queue,Medium,973,K Closest Points to Origin,69.0%,25.0%,https://leetcode.com/problems/k-closest-points-to-origin,Distance heap
Heap/Priority Queue,Hard,218,The Skyline Problem,45.4%,37.5%,https://leetcode.com/problems/the-skyline-problem,Event heap
Heap/Priority Queue,Hard,295,Find Median from Data Stream,54.5%,37.5%,https://leetcode.com/problems/find-median-from-data-stream,Two heaps
Interval,Easy,252,Meeting Rooms,64.2%,50.0%,https://leetcode.com/problems/meeting-rooms,Sort and check overlap
Interval,Medium,56,Merge Intervals,51.8%,62.5%,https://leetcode.com/problems/merge-intervals,Sort and merge
Interval,Medium,57,Insert Interval,39.8%,50.0%,https://leetcode.com/problems/insert-interval,Maintain order
Interval,Medium,253,Meeting Rooms II,56.2%,50.0%,https://leetcode.com/problems/meeting-rooms-ii,Min rooms needed
Interval,Medium,435,Non-overlapping Intervals,57.1%,25.0%,https://leetcode.com/problems/non-overlapping-intervals,Greedy removal
Interval,Medium,452,Minimum Number of Arrows to Burst Balloons,61.4%,25.0%,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Greedy shooting
Math,Easy,7,Reverse Integer,54.5%,50.0%,https://leetcode.com/problems/reverse-integer,Digit extraction
Math,Easy,9,Palindrome Number,53.5%,50.0%,https://leetcode.com/problems/palindrome-number,Reverse comparison
Math,Easy,202,Happy Number,54.3%,50.0%,https://leetcode.com/problems/happy-number,Cycle detection
Math,Easy,231,Power of Two,50.1%,25.0%,https://leetcode.com/problems/power-of-two,Bit manipulation
Math,Easy,326,Power of Three,51.1%,37.5%,https://leetcode.com/problems/power-of-three,Modulo check
Math,Medium,29,Divide Two Integers,32.7%,50.0%,https://leetcode.com/problems/divide-two-integers,Bit shifting
Math,Medium,50,Pow(x; n),38.7%,37.5%,https://leetcode.com/problems/powx-n,Binary exponentiation
Math,Medium,204,Count Primes,36.1%,25.0%,https://leetcode.com/problems/count-primes,Sieve of Eratosthenes
Math,Hard,273,Integer to English Words,35.0%,37.5%,https://leetcode.com/problems/integer-to-english-words,Group and map
Greedy,Easy,1427,Perform String Shifts,56.0%,50.0%,https://leetcode.com/problems/perform-string-shifts,Net shift calculation
Greedy,Medium,55,Jump Game,40.9%,50.0%,https://leetcode.com/problems/jump-game,Reachability check
Greedy,Medium,56,Merge Intervals,51.8%,62.5%,https://leetcode.com/problems/merge-intervals,Sort and merge
Greedy,Medium,122,Best Time to Buy and Sell Stock II,71.1%,50.0%,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Buy dips
Greedy,Medium,134,Gas Station,48.0%,37.5%,https://leetcode.com/problems/gas-station,Check total gas
Greedy,Medium,452,Minimum Number of Arrows to Burst Balloons,61.4%,25.0%,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Greedy end point
Greedy,Hard,135,Candy,48.5%,37.5%,https://leetcode.com/problems/candy,Two pass allocation
Stock,Easy,121,Best Time to Buy and Sell Stock,56.8%,50.0%,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Min price tracking
BFS/DFS,Easy,733,Flood Fill,68.3%,25.0%,https://leetcode.com/problems/flood-fill,Color replacement
BFS/DFS,Medium,200,Number of Islands,64.4%,62.5%,https://leetcode.com/problems/number-of-islands,Island counting
BFS/DFS,Medium,210,Course Schedule II,55.5%,37.5%,https://leetcode.com/problems/course-schedule-ii,Topological sort
BFS/DFS,Medium,695,Max Area of Island,74.0%,37.5%,https://leetcode.com/problems/max-area-of-island,Area tracking
BFS/DFS,Medium,752,Open the Lock,61.3%,37.5%,https://leetcode.com/problems/open-the-lock,BFS states
BFS/DFS,Medium,994,Rotting Oranges,58.7%,37.5%,https://leetcode.com/problems/rotting-oranges,Multi-source BFS
Design,Easy,706,Design HashMap,66.6%,50.0%,https://leetcode.com/problems/design-hashmap,Bucket chaining
Design,Medium,146,LRU Cache,47.4%,62.5%,https://leetcode.com/problems/lru-cache,Hash map + linked list
Design,Medium,208,Implement Trie (Prefix Tree),69.5%,25.0%,https://leetcode.com/problems/implement-trie-prefix-tree,Tree structure
Design,Medium,622,Design Circular Queue,54.7%,25.0%,https://leetcode.com/problems/design-circular-queue,Array-based queue
Design,Medium,641,Design Circular Deque,64.7%,37.5%,https://leetcode.com/problems/design-circular-deque,Double-ended queue
Design,Hard,460,LFU Cache,49.2%,25.0%,https://leetcode.com/problems/lfu-cache,Frequency tracking
